OAU State,Official Language,IMF SDRs,Date of Independence,Head of Central Bank,Capital,IMF #Votes,Name of Currency,dbo:capital,dbo:language,dbo:currency,Labels candidate,Candidate url state,Label
Burundi,French,60.2,ott-62,Mathias Sinamenye,Bujumbura,825,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burundi- kenya relations', 'Burundi-Kenya_relations', 'burundi-kenya_relations', 'Burundi-Kenya relations', 'Burundi- Kenya relations', 'burundi-kenya relations']",http://dbpedia.org/resource/Burundi-Kenya_relations,0
Burundi,French,61.2,nov-62,Mathias Sinamenye,Bujumbura,826,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['senate_(burundi)', 'Senate ( Burundi)', 'senate (burundi)', 'Senate (Burundi)', 'Senate_(Burundi)', 'senate ( burundi)']",http://dbpedia.org/resource/Senate_(Burundi),0
Burundi,French,62.2,dic-62,Mathias Sinamenye,Bujumbura,827,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['liberal_party_(burundi)', 'Liberal Party (Burundi)', 'Liberal Party ( Burundi)', 'liberal party (burundi)', 'Liberal_Party_(Burundi)', 'liberal party ( burundi)']",http://dbpedia.org/resource/Liberal_Party_(Burundi),0
Burundi,French,63.2,gen-63,Mathias Sinamenye,Bujumbura,828,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"[""people's_party_(burundi)"", ""People's Party (Burundi)"", ""People's Party ( Burundi)"", ""people's party (burundi)"", ""People's_Party_(Burundi)"", ""people's party ( burundi)""]",http://dbpedia.org/resource/People's_Party_(Burundi),0
Burundi,French,64.2,feb-63,Mathias Sinamenye,Bujumbura,829,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['titi,_burundi', 'Titi,_Burundi', 'Titi, Burundi', 'titi, burundi']","http://dbpedia.org/resource/Titi,_Burundi",0
Burundi,French,65.2,mar-63,Mathias Sinamenye,Bujumbura,830,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"[""King's School (Burundi)"", ""king's school ( burundi)"", ""King's_School_(Burundi)"", ""king's_school_(burundi)"", ""king's school (burundi)"", ""King's School ( Burundi)""]",http://dbpedia.org/resource/King's_School_(Burundi),0
Burundi,French,66.2,apr-63,Mathias Sinamenye,Bujumbura,831,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Ruhwa,_Burundi', 'ruhwa, burundi', 'ruhwa,_burundi', 'Ruhwa, Burundi']","http://dbpedia.org/resource/Ruhwa,_Burundi",0
Cameroon,French,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['senate (cameroon)', 'Senate ( Cameroon)', 'Senate (Cameroon)', 'senate ( cameroon)', 'senate_(cameroon)', 'Senate_(Cameroon)']",http://dbpedia.org/resource/Senate_(Cameroon),0
Cameroon,French,136.1,feb-60,Edouard Akame Mfoumou,Yaounde,1'602,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Cameroon', 'cameroon']",http://dbpedia.org/resource/Cameroon,1
Cameroon,French,137.1,mar-60,Edouard Akame Mfoumou,Yaounde,1'603,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Cameroon-Russia_relations', 'Cameroon- Russia relations', 'cameroon-russia relations', 'Cameroon-Russia relations', 'cameroon- russia relations', 'cameroon-russia_relations']",http://dbpedia.org/resource/Cameroon-Russia_relations,0
Cameroon,French,138.1,apr-60,Edouard Akame Mfoumou,Yaounde,1'604,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['cameroon- china relations', 'Cameroon- China relations', 'Cameroon-China_relations', 'cameroon-china relations', 'cameroon-china_relations', 'Cameroon-China relations']",http://dbpedia.org/resource/Cameroon-China_relations,0
Cameroon,French,139.1,mag-60,Edouard Akame Mfoumou,Yaounde,1'605,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Cameroon-Israel_relations', 'cameroon- israel relations', 'cameroon-israel_relations', 'cameroon-israel relations', 'Cameroon- Israel relations', 'Cameroon-Israel relations']",http://dbpedia.org/resource/Cameroon-Israel_relations,0
Cameroon,French,140.1,giu-60,Edouard Akame Mfoumou,Yaounde,1'606,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['bati language (cameroon)', 'Bati_language_(Cameroon)', 'Bati language (Cameroon)', 'Bati language ( Cameroon)', 'bati language ( cameroon)', 'bati_language_(cameroon)']",http://dbpedia.org/resource/Bati_language_(Cameroon),0
Cameroon,French,141.1,lug-60,Edouard Akame Mfoumou,Yaounde,1'607,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['kung_language_(cameroon)', 'kung language ( cameroon)', 'Kung language ( Cameroon)', 'kung language (cameroon)', 'Kung_language_(Cameroon)', 'Kung language (Cameroon)']",http://dbpedia.org/resource/Kung_language_(Cameroon),0
Cameroon,French,142.1,ago-60,Edouard Akame Mfoumou,Yaounde,1'608,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Chah (Cameroon)', 'Chah_(Cameroon)', 'Chah ( Cameroon)', 'chah (cameroon)', 'chah ( cameroon)', 'chah_(cameroon)']",http://dbpedia.org/resource/Chah_(Cameroon),0
Cameroon,French,143.1,set-60,Edouard Akame Mfoumou,Yaounde,1'609,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['cameroon-nigeria relations', 'Cameroon- Nigeria relations', 'cameroon-nigeria_relations', 'cameroon- nigeria relations', 'Cameroon-Nigeria relations', 'Cameroon-Nigeria_relations']",http://dbpedia.org/resource/Cameroon-Nigeria_relations,0
Cameroon,French,144.1,ott-60,Edouard Akame Mfoumou,Yaounde,1'610,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['southwest region ( cameroon)', 'Southwest Region ( Cameroon)', 'Southwest Region (Cameroon)', 'southwest_region_(cameroon)', 'Southwest_Region_(Cameroon)', 'southwest region (cameroon)']",http://dbpedia.org/resource/Southwest_Region_(Cameroon),0
Cameroon,Eng.,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['senate (cameroon)', 'Senate ( Cameroon)', 'Senate (Cameroon)', 'senate ( cameroon)', 'senate_(cameroon)', 'Senate_(Cameroon)']",http://dbpedia.org/resource/Senate_(Cameroon),0
Cameroon,Eng.,136.1,feb-60,Edouard Akame Mfoumou,Yaounde,1'602,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Cameroon', 'cameroon']",http://dbpedia.org/resource/Cameroon,1
Cameroon,Eng.,137.1,mar-60,Edouard Akame Mfoumou,Yaounde,1'603,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Cameroon-Russia_relations', 'Cameroon- Russia relations', 'cameroon-russia relations', 'Cameroon-Russia relations', 'cameroon- russia relations', 'cameroon-russia_relations']",http://dbpedia.org/resource/Cameroon-Russia_relations,0
Cameroon,Eng.,138.1,apr-60,Edouard Akame Mfoumou,Yaounde,1'604,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['cameroon- china relations', 'Cameroon- China relations', 'Cameroon-China_relations', 'cameroon-china relations', 'cameroon-china_relations', 'Cameroon-China relations']",http://dbpedia.org/resource/Cameroon-China_relations,0
Cameroon,Eng.,139.1,mag-60,Edouard Akame Mfoumou,Yaounde,1'605,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Cameroon-Israel_relations', 'cameroon- israel relations', 'cameroon-israel_relations', 'cameroon-israel relations', 'Cameroon- Israel relations', 'Cameroon-Israel relations']",http://dbpedia.org/resource/Cameroon-Israel_relations,0
Cameroon,Eng.,140.1,giu-60,Edouard Akame Mfoumou,Yaounde,1'606,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['bati language (cameroon)', 'Bati_language_(Cameroon)', 'Bati language (Cameroon)', 'Bati language ( Cameroon)', 'bati language ( cameroon)', 'bati_language_(cameroon)']",http://dbpedia.org/resource/Bati_language_(Cameroon),0
Cameroon,Eng.,141.1,lug-60,Edouard Akame Mfoumou,Yaounde,1'607,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['kung_language_(cameroon)', 'kung language ( cameroon)', 'Kung language ( Cameroon)', 'kung language (cameroon)', 'Kung_language_(Cameroon)', 'Kung language (Cameroon)']",http://dbpedia.org/resource/Kung_language_(Cameroon),0
Cameroon,Eng.,142.1,ago-60,Edouard Akame Mfoumou,Yaounde,1'608,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Chah (Cameroon)', 'Chah_(Cameroon)', 'Chah ( Cameroon)', 'chah (cameroon)', 'chah ( cameroon)', 'chah_(cameroon)']",http://dbpedia.org/resource/Chah_(Cameroon),0
Cameroon,Eng.,143.1,set-60,Edouard Akame Mfoumou,Yaounde,1'609,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['cameroon-nigeria relations', 'Cameroon- Nigeria relations', 'cameroon-nigeria_relations', 'cameroon- nigeria relations', 'Cameroon-Nigeria relations', 'Cameroon-Nigeria_relations']",http://dbpedia.org/resource/Cameroon-Nigeria_relations,0
Cameroon,Eng.,144.1,ott-60,Edouard Akame Mfoumou,Yaounde,1'610,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['southwest region ( cameroon)', 'Southwest Region ( Cameroon)', 'Southwest Region (Cameroon)', 'southwest_region_(cameroon)', 'Southwest_Region_(Cameroon)', 'southwest region (cameroon)']",http://dbpedia.org/resource/Southwest_Region_(Cameroon),0
